indicator_id,indicator_name,unit,datetime,value,geo_id,geo_name,geo_agg
12,Generación programada PBF Eólica terrestre,,2025-11-01T07:00:00.000+01:00,11146.5,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T08:00:00.000+01:00,10578.9,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T09:00:00.000+01:00,9932.9,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T10:00:00.000+01:00,9484.7,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T11:00:00.000+01:00,9446.3,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T12:00:00.000+01:00,9401.5,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T13:00:00.000+01:00,9377.1,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T14:00:00.000+01:00,9342.3,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T15:00:00.000+01:00,9025.5,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T16:00:00.000+01:00,8608.6,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T17:00:00.000+01:00,8574.7,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T18:00:00.000+01:00,8823.4,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T19:00:00.000+01:00,9309.8,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T20:00:00.000+01:00,9632.5,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T21:00:00.000+01:00,9792.4,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T22:00:00.000+01:00,9913.1,8741,Península,
12,Generación programada PBF Eólica terrestre,,2025-11-01T23:00:00.000+01:00,10184.4,8741,Península,
