modelo,RMSE,MAE,R²,MAPE
Lasso,22.50249519431218,18.589295111944075,0.9728574045497753,0.008576362521349913
ElasticNet,38.45600609386889,33.82031781989134,0.9207282630295032,0.01582462818188996
Ridge,38.6620428152927,35.4151108225681,0.9198765551161167,0.01654239499432288
LinearRegression,39.46125145458694,35.794847697746555,0.9165297475930617,0.0167172580375855
GradientBoosting,50.3602271483679,37.420732204602636,0.8640543300996522,0.01807143918066494
RandomForest,60.48620051202553,39.75666666666666,0.8038886956867358,0.019407807388571775
KNN,88.21771971338055,74.89285714285714,0.5828409458871096,0.035113222255558754
SVR,142.24485778298336,100.31509566789457,-0.08458393998131242,0.04756839890337087
